userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
Iqbal Firdaus,taai malah ngebug.. mau pilih lokasi malah stuck terus.. benerin dulu lah,1,4.55.2,2023-04-12 17:17:16,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh diceritakan detail untuk kendala yang kamu alami kepada kami dengan menghubungi via email ke cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya.Terima kasih 😊 by : AR",2023-04-13 02:08:20,4.55.2
Gozzali Ar Rozzaq,Membantu perjalanan,5,,2023-04-12 12:36:03,,,
Junaidi Pakpahan,Mantap,5,,2023-04-12 09:33:56,,,
Carles Sipasulta,Blm dipakai,1,,2023-04-12 08:56:09,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh diceritakan detail untuk kendala yang kamu alami kepada kami dengan menghubungi via email ke cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya.Terima kasih 🙂 by : AG",2023-04-12 09:17:52,
adie 23,"Parah sih kalau gak ada perubahan,isi coment jelek smua ttng ApK ini.. tlong lah adminnya cepat lakukan perbaikan kalau gak mau uninstal masal.",1,4.55.2,2023-04-12 07:54:09,Hai Adie. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Apakah kamu mengalami kendala pada saat menggunakan aplikasi atau melakukan pemesanan? Jika kamu mengalami kendala silakan hubungi kami melalui Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Terima kasih 🙂 by : AF,2023-04-12 08:43:46,4.55.2
Alif Ruuhulhaqqi S,"Ini kok kursi kosong gabisa dipesen ""kursi sudah dipesan"" Tapi ga kasih tau kursi kosong nya dimana.",2,4.55.2,2023-04-12 06:40:45,"Hai Alif, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : PY
",2023-04-12 07:26:11,4.55.2
Tiger Claw,"Aplikasi anjiiiiiiiing bangeeeet saya udh order tiket pesawat tp ordernya tidak ditemukan,padahal pembayaran udh dikonfirmasi tp diaplikasi tdk ad ordernya. Aplikasi ga jelas n gmn mau orang mau beli di aplikasi sdgkan no ordernya tidak ditemukan,,,,, 👎👎👎",1,4.55.2,2023-04-12 05:13:00,"Hai sobat tiket.Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan.Bisa kamu informasikan Order ID dan alamat email pemesanan kamu kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”.Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu.Terima kasih😊by :PY

",2023-04-12 07:10:30,4.55.2
Siti Robiah,Gabisa di pake,2,,2023-04-12 03:12:31,Hai Siti. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Apakah kamu mengalami kendala pada saat menggunakan aplikasi atau melakukan pemesanan? Jika kamu mengalami kendala silakan hubungi kami melalui Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Terima kasih 🙂 by : AG,2023-04-12 03:13:09,
Yusuf Balahmar,Cara pemasanan sangat mudah & opsi pembayaran Tidak ribet,5,4.55.2,2023-04-11 23:25:59,,,4.55.2
Fahrun Massa,harga tiket pesawat masih lebih murah di aplikasi sebelah,1,4.55.2,2023-04-11 21:56:36,Hai Fahrun Massa. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AR,2023-04-12 00:29:13,4.55.2
MARIAM SHIFA,Proses refund sdh berjalan malah bilang di tolak beda satu menit datang lg email diterima tapi jlhnya dr 1.3 jd 700 heran kapok dah beli d sini,1,4.55.2,2023-04-11 11:38:36,"Hai Mariam, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Terkait dengan kendala kamu sudah kami bantu teruskan kembali dan akan ditindaklanjuti segera ya sobat. Semoga segera mendapatkan konfirmasinya segera. Terima kasih 😊 by : AF",2023-04-11 12:47:52,4.55.2
asih srimulyani,"Bli voucher hotel di deskripsi untuk 4 orng,pas mau payment tiba2 brubah cuma untuk 2 orng,, Di deskripsi ada privat pool nya,pas nelfon langsung ke pihak resort katanya ga ada privat pool.jangan tertipu sma harga murah.bener2 ga jelas ni aplikasi",1,,2023-04-11 04:10:10,"Hai Asih Srimulyani, maaf ya untuk kendala yang kamu alami dan terima kasih juga sudah luangkan waktu berikan ulasan untuk kami. Boleh ceritakan detail kendalamu bersama kami melalui email di cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami siap bantu kamu 24/7, ditunggu konfirmasinya ya sobat. Have a great day. Terima kasih 😊 by : FA",2023-04-11 05:14:14,
Tanti Elfitriani,Mau pesen tiket bus/travel susah bgt diketik alamatnya!!!!,1,4.55.2,2023-04-11 01:48:37,"Hai Tanti. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV
",2023-04-11 02:26:45,4.55.2
Santi Tumbal,Mantap,5,,2023-04-10 22:27:37,,,
Free,"Lagi iseng coba nyari informasi harga tiket pesawat rute denpasar - banyuwangi (begitupun sebaliknya) ternyata tidak ada, yang ada transit dulu di jakarta, padahal lihat di flightradar24 ada jadwalnya penerbangan dps-bwx (begitupun sebaliknya),tolong dimaksimalkan lagi",3,4.55.2,2023-04-10 21:15:25,"Hai sobat tiket, terima kasih ya sudah meluangkan waktu berikan ulasan untuk kami. Coba ceritakan keluhanmu bersama kami yuk sobat melalui email di cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami siap bantu kamu 24/7, ditunggu konfirmasinya ya sobat. Have a great day. Terima kasih 😊 by : FA",2023-04-11 01:29:35,4.55.2
GoG 481,"Parah ya, saya pesen hotel di apk ini sangat tidak profesional, saya mengirimkan sejumlah uang, karena nominalnya lebih lalu pesanan saya tidak di proses, malah mereka ingin mengembalikan dana, tapi saat saya proses untuk pengembalian dana mereka lama sekali mengirimkan uang saya kembali, padahal itu kan uang saya dan hak saya, tapi di prosesnya lama sekali sampai berhari hari, sangat tidak direkomendasi, tolong lebih berhati hati lagi yang ingin memesan tiket atau apapun itu",1,4.55.2,2023-04-10 07:03:28,Hai sobat tiket. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan.Bisa kamu informasikan Order ID dan alamat email pemesananmu kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”.Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AR,2023-04-10 13:54:16,4.55.2
Syifa Raniswara,Aplikasi mudah dipakai. Pencarian tiket gampang.,5,4.55.2,2023-04-10 06:49:41,,,4.55.2
Putra Alison,"Ga di web ga di app bapuk ngestuck di pembayaran, customer care juga ga jelas, bener bener sampah",1,,2023-04-10 03:12:55,"Hai Putra, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : RD",2023-04-10 04:44:03,
Ari Anggara,Menyenangkan,4,4.32.1,2023-04-10 02:09:35,,,4.32.1
Satrio Jayenk,Manfaat sekali siipp,5,,2023-04-09 19:10:36,,,
M Zalki Parez,"Sistem pembayaran yang lama, keburu habis waktu booking 👎",1,4.55.2,2023-04-09 15:35:34,"Hai sobat tiket, maaf ya jika kamu alami kendala pada apps saat ingin transaksi. Kamu bisa ceritakan juga ke kami ya perihal kendala yang kamu alami, jangan disimpan sendiri. Kuy ceritakan melalui email ke cs@tiket.com dengan subject email: ""Konfirmasi Review App"". Kami tunggu konfirmasinya, semoga kendala tidak berulang. Terima kasih 😊 by : RD",2023-04-10 02:05:30,4.55.2
samuel teguh,Jelek bat aplikasi,1,4.55.2,2023-04-09 14:56:28,"Hai Samuel Teguh, maaf ya jika kamu alami kendala pada apps saat ingin transaksi. Kamu bisa ceritakan juga ke kami ya perihal kendala yang kamu alami, jangan disimpan sendiri. Kuy ceritakan melalui email ke cs@tiket.com dengan subject email: ""Konfirmasi Review App"". Kami tunggu konfirmasinya, semoga kendala tidak berulang. Terima kasih 😊 by : FA",2023-04-09 15:05:38,4.55.2
Jerry Mantik,Oke,5,4.55.2,2023-04-09 06:59:48,,,4.55.2
Duck Dragon,Keren,5,4.54.0,2023-04-08 17:46:10,,,4.54.0
Ria Anggun Januar,Pengalaman terburuk war ticket,1,,2023-04-08 16:19:39,"Hai Ria, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AF",2023-04-08 19:54:27,
Harris Simangunsong,Bagus gak yah,3,4.54.0,2023-04-08 14:15:26,"Hai sobat tiket,
Semoga kamu sehat dan selalu bahagia ya. Terima kasih juga sudah luangkan waktu berikan ulasan untuk kami. Kamu bisa berbagi cerita pengalaman juga lho di sini dan jangan sungkan hubungi customer care tiket.com jika alami kendala. Kami siap bantu kamu 24/7. Have a great day. Terima kasih 😊 by : FA",2023-04-09 09:10:19,4.54.0
Rivka Monica,"Saya kecewa sekali ketika memesan tiket pesawat, kemudian melakukan pembayaran via ovo yang terkait diakun . Yang masuk nama pemilik ovonya bukan data yang sudah di isi",1,4.54.0,2023-04-08 13:37:25,"Hai Rivka, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Terkait dengan kendala kamu sudah kami bantu teruskan kembali dan akan ditindaklanjuti segera ya sobat. Semoga segera mendapatkan konfirmasinya segera. Terima kasih 😊 by : AF",2023-04-08 19:50:23,4.54.0
Ryant AR,Sering ada discount dan tidak pernah ditolak hotel atau perbedaan tarip online dan offline,5,4.55.2,2023-04-08 03:54:55,,,4.55.2
zulfakar fakar,Sangat membantu sekali,5,,2023-04-07 06:05:48,,,
Puji Awati,Aplikasi burik,1,4.55.2,2023-04-05 22:02:02,Hai Puji. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AR,2023-04-06 00:45:50,4.55.2
Harun Hak,"APLIKASI TERJELEK DI SELURUH DUNIA....MAU REFUND AJA RIBET BANGET PAKE NUNGGU LAMA SEGALA...WEY ITU UANG GUE,,KALIAN JANGAN NAHAN² APA YG BUKN MILIK KLIAN ............",1,,2023-04-05 21:20:34,Hai Harun. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AR,2023-04-06 00:39:31,
zika salim,"Jelek, pasti nyesel",1,,2023-04-05 13:17:30,"Hai Zika, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : PY
",2023-04-05 16:19:55,
fajar wildana,Tiket termurah dan Pelayanan proses cepat dan mudah,5,,2023-04-05 11:49:33,,,
hari tukul,"Kecewa sejak ada refund dan uangnya di kembalikan bukan ke no rek tapi ke aplikasi bli"",sudah menunggu refund lama di tambah harus nunggu lg proses penarikan dana ke norek 2-3 hari dari aplikasi",2,4.54.0,2023-04-05 10:57:38,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh diceritakan detail untuk kendala yang kamu alami kepada kami dengan menghubungi via email ke cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya.Terima kasih 🙂 by : AG
",2023-04-05 12:29:18,4.54.0
Ridho Yanti,Aplikasi ini sangat bagus sekali,5,,2023-04-05 08:29:47,,,
Sufyan Wijaya,"Bagus, refund cepat juga...pertahankan",5,,2023-04-05 08:04:52,,,
Ahmad Zanim,Refund diharuskan ke blipay.,1,4.54.0,2023-04-05 06:30:59,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-04-05 08:14:47,4.54.0
Yuni Ardhana,Aman ga ya beli tiket pesawat di aplikasi ini?,2,,2023-04-05 06:26:08,"Hai Yuni. Semoga sehat selalu. Untuk pembelian tiket pesawat di tiket.com pastikan melakukan pembelian di platform resmi tiket.com baik di aplikasi tiket.com, web tiket.com atau mweb m.tiket.com. Pastikan sobat login untuk dapat melihat etiket kamu ya. Semoga informasinya membantu. Terima kasih 😊 by : IV",2023-04-05 08:14:33,
Fudin Rg230,"Apklikasi kacauu baru di instal, mau pilih tiket , langsung Ngebug ga bisa klik taanggal dan tujuann",1,4.55.2,2023-04-05 03:44:17,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-04-05 04:39:21,4.55.2
ABUR SUNARYA,Untuk pembayaran loding terus ? klw pake aplikasi ticket com.klw pake aplikasi kaya kredivo ko lancar jadi kecewa jadinya nih pake aplikasi ticket com,1,4.55.2,2023-04-05 03:12:12,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-04-05 03:58:03,4.55.2
Feliadewi Ruth,Sangat jelek,1,4.54.0,2023-04-04 22:20:38,Hai Feliadewi. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : DZ,2023-04-05 00:18:36,4.54.0
Nur Bara,AClGameStop,5,,2023-04-04 17:58:27,,,
Bambang Tugiyo,Josss,3,4.55.2,2023-04-04 15:04:07,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-04-05 02:18:17,4.55.2
Robby AkbarA,Ambil untung reschedule terlalu tinggi,1,4.54.0,2023-04-04 04:20:56,"Hai Robby, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AN",2023-04-04 05:36:25,4.54.0
Chandra,"Tidak kontak langsung dengan pengelola hotel, jd tdk bisa bertanya tanya dahulu",1,,2023-04-03 17:43:05,"Hai Chandra, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-04-04 00:48:21,
Kitkit Channel,Mau beli booking hotel aj susahny minta ampun mau pembayaran gagal mulu,1,4.54.0,2023-04-03 16:42:06,"Hai sobat tiket, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-04-04 00:42:47,4.54.0
Alianza II,"mantap, pilihan hotel jauh lebih banyak dari aplikasi sebelah... harga juga selisih lebih murah. pembayaran juga mudah tidak mesti kartu kredit. cobain dulu baru bedakan mana yang lebih baik",5,4.54.0,2023-04-03 11:33:04,,,4.54.0
"Muliadi Hidayat,ST,MM",Perfect,5,,2023-04-03 01:11:25,,,
Rifan Gusrianto,"Kaga jelas terkait pengembalian dana, dari bulan Maret sampai sekarang di tunda terus. Untuk hubungi cs nya susah",1,4.43.1,2023-04-03 00:33:39,"Hai Rifan, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-04-03 01:06:16,4.43.1
Yuli Spd,Saya sangat senang,5,4.54.0,2023-04-02 21:41:00,,,4.54.0
Aphiau Merak,Ok,5,,2023-04-02 14:49:36,,,
Ratih Rh,"Not good in program Cuse 27-03/23 tidak bisa login karena servernya di serang server lain,pas pembelian tiket sangat sangat tidak bangus dan lag erorr gimana kita mau dapet tiket,Chuaks MALES SAMA TIKET,COM GA SMART BANGET MASA KARENA BANYAK YG LOGIN SERVER GABISA DI AKSES TAU TAU SUDAH HABIS DI BELI,KOCAK KOCAK TIKET COM",1,4.54.0,2023-04-02 14:40:12,Hai Ratih. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV,2023-04-03 01:02:31,4.54.0
DESA RAJA,"Bagus kok ini aplikasi sangat membantu,proses cepat.gk ribet.",5,,2023-04-02 08:17:15,,,
Widya Inanta,"servernya tlong diperbaiki dulu. masa mau war tiket konser suga, tidak masuk2 ke server dan berujung kehabisan. 30mnt an baru bs masuk server dlm keadaan tiket sdh habis dipesan, itupun masih kdg2 biss kdg2 enggak. huft sdh biaya platformnya mahal tp server jelek bgt. pffftttt.",1,,2023-04-02 07:25:02,"Hai Widya. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AF

",2023-04-04 10:08:13,
Nita Banyuwangi,Untuk cek yg Bus dan travell luamaaaaa,1,4.54.0,2023-04-02 05:34:50,"
Hai Nita. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : IV",2023-04-03 00:58:29,4.54.0
NeZ,"Wkatu war tiket suga bener2 crash ga bisa masuk sama sekali, sampe 10mnt coba lagi terus. Begitu bisa cat 4 - 5 uda habis dipesan. Cat 4 - 5 itu horor bangettt...ghoib bangett!!!!!! Seperti gada prepare sbelemnya buat web maupun aplikasi yg akan di akses se indonesia mungkin. Atau memang di setting seperti itu????",1,,2023-04-02 05:28:56,Hai sobat tiket. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AF,2023-04-04 10:04:19,
devi rahmawati,kalau belum siap jangan megang even partai besar dari aplikasi gk kuat inter jg gk komit kalau seperti ini banyak kemungkinan aplikasi di curangi!!!,1,,2023-04-01 21:58:51,"Hai Devi, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AS",2023-04-02 00:55:45,
Parkcandy P94,"안징, 바징안, 바비.",1,4.54.0,2023-04-01 15:46:59,"Hi t-mates, sorry for the inconvenience and thank you for taking the time to provide a review. Can you tell us the details of the problems you are experiencing by contacting us via email to cs@tiket.com with the subject: “App Review Confirmation”. We are waiting for confirmation. Thank you 🙂 by : PY",2023-04-05 07:33:31,4.54.0
Riadi,"Aneh padahal nomor udah terverifikasi tapi koin ndak masuk, bilangnya nomor punya akun lain, hei ini akunnya sama. kok gak jelas sih, malah main hangus sendiri kalo keluar aplikasi, emang makin aneh dah",1,4.54.0,2023-04-01 14:05:17,"Hai Riadi, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : PY",2023-04-02 01:00:45,4.54.0
M Zulfan Arief,"mohon info knpa pay letter saya gak bisa digunakan, padahal disitu aktif untuk pay letternya, dengan Indo Dana",5,4.54.0,2023-04-01 13:32:11,"Hi T-mates, sorry for the inconvenience and thank you for taking the time to provide a review. We convey that the paylater powered by Indodana is still under system maintenance until an undetermined time limit. Thank you 🙂 by : RY
",2023-04-03 06:57:14,4.54.0
Ayunda nur d,Knp paylater saya tdk bisa di gunakan?,4,4.54.0,2023-04-01 12:22:57,"Hi T-mates, sorry for the inconvenience and thank you for taking the time to provide a review. We convey that the paylater powered by Indodana is still under system maintenance until an undetermined time limit. Thank you 🙂 by : RY
",2023-04-03 06:57:05,4.54.0
Sabda Kurnia,Aplikasi tolol. Saya udah tf udah bayar malah di history ngga ada. Padahal tiket udah mau di pakai. Telfon call center suruh nunggu terus.. Sampai udah habis pulsa 40k untuk telfon cal center dan masih di suruh tunggu.. Sumpah pelayanan ngga enak banget. Ribet. Uang udah di tf tiket belum masuk. Gmail aja belum masuk juga.,1,4.54.0,2023-04-01 12:21:14,"Hai Sabda. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Kami informasikan untuk e-ticket pemesanan kamu sudah berhasil terbit dan bisa kamu cek pada inbox,spam atau junk di email pemesanan kamu ya sobat. Terima kasih 😊 by : PY


",2023-04-02 00:42:33,4.54.0
mult azam,"Jual tiket pesawat kayak jual cabe di pasar, semau maunya naikin harga dlm waktu singkat. Mentang² banyak orang yg pada mau mudik, naikin harga sesuka hatinya. Dikira orang cari duit itu gampang ? Ngumpulin duit buat mudik itu susah tidak seperti kalian yg gampang naikin harga.",2,4.54.0,2023-04-01 12:16:42,"Hai Azam, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan ya. Kami informasikan untuk harga pemesanan tiket pesawat mengikuti update harga yang ditentukan oleh pihak maskapai dan bersifat fluktuatif atau berubah-ubah ya sobat.Terima kasih 😊 by : PY
",2023-04-02 01:19:57,4.54.0
Hardianti Rahim,Punya limit paylater tpi percuma gak bisa dipakai,1,4.54.0,2023-04-01 10:41:12,"Hai Hardianti. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Untuk sementara tiket paylater by Indodana masih dalam tahap pemeliharaan ya, silahkan gunakan metode pembayaran lainnya atau kamu bisa lakukan pengecekan secara berkala ya sobat. Terima kasih 😊 by : PY
",2023-04-02 00:25:02,4.54.0
Michelle Leblanc,Jangan pernah pesan airport transfer. Apalagi ada perubahan jadwal. Bakalan hangus. Rugi banget. Not recommended using this apps 👎👎👎,1,,2023-04-01 05:57:40,"Hai Michelle,Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan.Bisa kamu informasikan Order ID dan alamat email pemesanan kamu kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”.Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : PY
",2023-04-02 00:08:23,
Garnis Triatami,"Sangat sangat buruk, karena adanya indikasi permainan org dalam tidak pyur murni buat khalayak umum dg war & tidak sesuai konsep pd aplikasinya sendiri & promotor tiket konser agustd kmrn, sangat kecewa & disayangkan!",1,4.54.0,2023-04-01 04:47:32,Hai Garnis. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan.Bisa kamu informasikan Order ID dan alamat email pemesanan kamu kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”.Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AF,2023-04-04 10:26:53,4.54.0
Noob Gaming,Mantaff,5,,2023-04-01 03:43:46,,,
Amriana Ana,Sangat murah,5,4.52.0,2023-04-01 01:06:15,,,4.52.0
Hutami Wijayanti,"Perlu banyak evaluasi, terutama kurangnya persiapan menghadapi lonjakan peminat yang jumlahnya ribuan padahal dipercayai sama beberapa artis besar. Kecewa! Apalagi kalau memang benar bisa pakai ordal ngapain ribet pakai apk mending cari ordal aja ga repot. Semoga direspon dengan baik sama developer. Semoga kedepan bisa lebih berhati-hati lagi dan profesional merespon keluhan.",1,4.54.0,2023-03-31 12:58:56,"Hai Hutami. Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : DZ

",2023-04-01 04:03:27,4.54.0
Gamers Syariah,JELEK,5,,2023-03-31 11:29:00,,,
